BELNR,BUKRS,GJAHR,BLDAT,BUDAT,BLART,WAERS,BKTXT,XBLNR,USNAM,CPUDT,TCODE,MONAT,NUMPG
0000579597,N3IT,2024,1/3/24,1/3/24,RE,EUR,N3N3 Vendor Invoice 2024-01-03,REF00579597,MMPOST,1/3/24,MIRO,1,2
0000579627,N3IT,2024,1/1/24,1/1/24,RE,EUR,N3N3 Vendor Invoice 2024-01-01,REF00579627,FIPOST,1/1/24,MIRO,1,2
0000579658,N3IT,2024,1/23/24,1/23/24,SA,EUR,N3N3 GL Posting 2024-01-23,REF00579658,SDPOST,1/23/24,VF01,1,2
0000579678,N3SN,2024,1/8/24,1/8/24,RV,XOF,N3N3 Revenue Invoice 2024-01-08,REF00579678,FIPOST,1/8/24,MIRO,1,6
0000579681,N3IT,2024,1/10/24,1/10/24,RE,EUR,N3N3 Vendor Invoice 2024-01-10,REF00579681,SDPOST,1/10/24,FB50,1,4
0000579699,N3IT,2024,1/19/24,1/19/24,RV,EUR,N3N3 Revenue Invoice 2024-01-19,REF00579699,SAPUSER,1/19/24,FB50,1,4
0000579727,N3IT,2024,1/15/24,1/15/24,RV,EUR,N3N3 Revenue Invoice 2024-01-15,REF00579727,FIPOST,1/15/24,MIRO,1,4
0000579768,N3SN,2024,1/21/24,1/21/24,SA,XOF,N3N3 GL Posting 2024-01-21,REF00579768,SDPOST,1/21/24,FB01,1,7
0000579786,N3IT,2024,1/16/24,1/16/24,RV,EUR,N3N3 Revenue Invoice 2024-01-16,REF00579786,MMPOST,1/16/24,VF01,1,4
0000579868,N3IT,2024,1/30/24,1/30/24,RE,EUR,N3N3 Vendor Invoice 2024-01-30,REF00579868,MMPOST,1/30/24,FB01,1,2
0000579934,N3IT,2024,1/14/24,1/14/24,RE,EUR,N3N3 Vendor Invoice 2024-01-14,REF00579934,SAPUSER,1/14/24,VF01,1,4
0000579942,N3SN,2024,1/23/24,1/23/24,SA,XOF,N3N3 GL Posting 2024-01-23,REF00579942,SDPOST,1/23/24,VF01,1,2
0000579960,N3IT,2024,1/27/24,1/27/24,RV,EUR,N3N3 Revenue Invoice 2024-01-27,REF00579960,BATCH,1/27/24,MIRO,1,6
0000579977,N3IT,2024,1/15/24,1/15/24,RV,EUR,N3N3 Revenue Invoice 2024-01-15,REF00579977,FIPOST,1/15/24,FB01,1,4
